,Avg Fitness,SD Fitness,Best Fitness
0,-0.15628412537917089,0.7488245579298591,0.6954499494438827
1,0.2621263902932256,0.552698899828133,0.6954499494438827
2,0.41346713852376127,0.3918893129873168,0.6954499494438827
3,0.5308645096056621,0.1692223694450722,0.6954499494438827
4,0.5345652173913045,0.22973912360606202,0.6954499494438827
5,0.5146794742163804,0.31715191126091147,0.6954499494438827
6,0.5465662285136499,0.23415198295856798,0.6954499494438827
7,0.4948988877654196,0.3507104383888288,0.6954499494438827
8,0.5235995955510617,0.31995980146409625,0.6993933265925177
9,0.4853690596562186,0.4149450285067107,0.6993933265925177
10,0.4553195146612743,0.4645234109736743,0.6993933265925177
11,0.4545935288169866,0.49176433055869617,0.6993933265925177
12,0.5241638018200199,0.4248293434819825,0.6993933265925177
13,0.54532052578362,0.3974377351509675,0.6993933265925177
14,0.5063902932254805,0.47852552121104064,0.6993933265925177
15,0.5295136501516682,0.45595754812555733,0.6993933265925177
16,0.5648695652173916,0.4013600505419697,0.7367037411526794
17,0.6408665318503541,0.24220586425726998,0.7367037411526794
18,0.6539646107178969,0.24106834191154483,0.7367037411526794
19,0.6612719919110208,0.2404954850124521,0.738422649140546
20,0.6994317492416582,0.04077651152359417,0.7393326592517695
21,0.6158887765419613,0.3731083991471268,0.7404448938321537
22,0.6355975733063702,0.33661400402541186,0.7404448938321537
23,0.5708907987866532,0.4363700889113844,0.7404448938321537
24,0.6427815975733061,0.29624760152686225,0.7404448938321537
25,0.6267462082912035,0.33795559358472377,0.7404448938321537
26,0.6942436804853387,0.061909182847797124,0.7404448938321537
27,0.6521799797775526,0.29368561081572675,0.7409504550050556
28,0.5915530839231544,0.40681367247603406,0.7409504550050556
29,0.5652234580384226,0.46445138694637333,0.7409504550050556
30,0.629273003033367,0.3371541886204583,0.7409504550050556
31,0.6329777553083917,0.33683949275316777,0.7409504550050556
32,0.537063700707785,0.48668372516516817,0.7409504550050556
33,0.6566036400404442,0.2433478078072573,0.7409504550050556
34,0.6366208291203231,0.33607730598256075,0.7409504550050556
35,0.6375783619817994,0.3364728395624336,0.7409504550050556
36,0.6733265925176946,0.2421813136570017,0.7409504550050556
37,0.6337178968655202,0.3379114999592425,0.7409504550050556
38,0.5054560161779572,0.5572828883997129,0.7427704752275025
39,0.508105156723963,0.5322398810223737,0.7427704752275025
40,0.5786228513650147,0.4355777259819132,0.7427704752275025
41,0.6331506572295242,0.3365226071050273,0.7437815975733064
42,0.6687381193124363,0.2415049961838338,0.7447927199191102
43,0.6385358948432756,0.3361368168240831,0.7447927199191102
44,0.7033468149646102,0.04647044930565038,0.7447927199191102
45,0.7041183013144588,0.05315731236807881,0.7447927199191102
46,0.5876370070778563,0.43953868741671204,0.7447927199191102
47,0.6984893832153687,0.17687262065054382,0.7447927199191102
48,0.6001749241658237,0.4085055887364287,0.7447927199191102
49,0.6419494438827094,0.33815559426482855,0.7447927199191102
